segment_id,date,dow,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
26,2021-04-16,4,weekday,period_0_30,1,A,1,366428456,366416066,116,32575820,40.0,4,Nguyễn Văn Bá,tertiary,106.7687324,10.8415062,106.769254,10.8424219,0,30,2021-04,False
67,2021-03-09,1,weekday,period_9_30,19,B,1,366403668,5755066033,7,32575862,40.0,3,Đường số 5,secondary,106.7684119,10.880817,106.7684611,10.8807714,9,30,2021-03,False
67,2021-03-23,1,weekday,period_9_30,19,B,1,366403668,5755066033,7,32575862,40.0,3,Đường số 5,secondary,106.7684119,10.880817,106.7684611,10.8807714,9,30,2021-03,False
185,2021-03-09,1,weekday,period_10_30,21,C,1,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,10,30,2021-03,False
185,2021-03-16,1,weekday,period_11_00,22,F,2,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,11,0,2021-03,False
185,2021-03-23,1,weekday,period_10_30,21,C,1,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,10,30,2021-03,False
185,2021-03-31,2,weekday,period_0_30,1,B,1,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,0,30,2021-03,False
207,2021-03-11,3,weekday,period_12_00,24,F,2,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,12,0,2021-03,False
207,2021-03-11,3,weekday,period_7_00,14,F,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,7,0,2021-03,False
207,2021-03-16,1,weekday,period_5_30,11,D,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,5,30,2021-03,False
207,2021-03-31,2,weekday,period_0_30,1,F,2,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,0,30,2021-03,False
207,2021-04-07,2,weekday,period_14_00,28,D,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,14,0,2021-04,False
207,2021-04-14,2,weekday,period_1_00,2,E,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,1,0,2021-04,False
207,2021-04-15,3,weekday,period_5_00,10,C,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,5,0,2021-04,False
996,2021-04-16,4,weekday,period_11_00,22,A,1,1497312738,1497312743,42,32576602,40.0,3,Trần Não,secondary,106.7311474,10.7954388,106.7312122,10.7958158,11,0,2021-04,False
1341,2021-04-14,2,weekday,period_0_30,1,C,1,366390663,2445304739,114,32576820,40.0,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,0,30,2021-04,False
1341,2021-04-15,3,weekday,period_5_00,10,F,1,366390663,2445304739,114,32576820,40.0,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,5,0,2021-04,False
1548,2021-04-22,3,weekday,period_1_30,3,E,1,5735452041,366443905,204,32577095,40.0,4,Trần Não,tertiary,106.7324889,10.8008263,106.7306201,10.8006739,1,30,2021-04,False
1549,2021-04-15,3,weekday,period_1_30,3,A,1,366443905,5735452021,5,32577095,40.0,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,1,30,2021-04,False
1549,2021-04-19,0,weekday,period_1_30,3,C,2,366443905,5735452021,5,32577095,40.0,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,1,30,2021-04,False
1549,2021-04-22,3,weekday,period_1_30,3,B,2,366443905,5735452021,5,32577095,40.0,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,1,30,2021-04,False
1551,2021-04-15,3,weekday,period_1_30,3,A,1,366461102,366410160,21,32577095,40.0,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,1,30,2021-04,False
1551,2021-04-19,0,weekday,period_1_30,3,A,1,366461102,366410160,21,32577095,40.0,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,1,30,2021-04,False
1551,2021-04-22,3,weekday,period_1_30,3,E,1,366461102,366410160,21,32577095,40.0,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,1,30,2021-04,False
1552,2021-04-15,3,weekday,period_1_30,3,F,1,366410160,366442996,16,32577095,40.0,4,Phường Thảo Điền,tertiary,106.7293575,10.8005193,106.7292655,10.8003967,1,30,2021-04,False
1553,2021-04-22,3,weekday,period_1_30,3,F,2,366442996,366441338,27,32577095,40.0,4,Trần Não,tertiary,106.7292655,10.8003967,106.7292475,10.8001505,1,30,2021-04,False
1554,2021-04-15,3,weekday,period_1_30,3,C,1,366441338,5735415579,30,32577095,40.0,4,Trần Não,tertiary,106.7292475,10.8001505,106.7292928,10.7998829,1,30,2021-04,False
1555,2021-04-22,3,weekday,period_1_30,3,A,1,5735415579,378299077,4,32577095,40.0,4,Trần Não,tertiary,106.7292928,10.7998829,106.7293008,10.7998391,1,30,2021-04,False
1626,2021-04-07,2,weekday,period_13_30,27,F,1,366436931,2993499702,49,32577138,40.0,4,Tân Thuận,unclassified,106.7500323,10.764817,106.749763,10.7644644,13,30,2021-04,False
