segment_id,date,weekday,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
33,2020-08-02,6,weekend,period_23_30,47,C,2,366469460,3792257828,26,32575862,40.0,3,Đường số 5,secondary,106.7619572,10.87865,106.7621428,10.8788077,23,30,2020-08,False
33,2020-08-03,0,weekday,period_0_00,0,F,8,366469460,3792257828,26,32575862,40.0,3,Đường số 5,secondary,106.7619572,10.87865,106.7621428,10.8788077,0,0,2020-08,False
70,2020-08-02,6,weekend,period_23_30,47,F,2,5816921541,4614188871,8,32575864,40.0,3,Châu Văn Liêm,secondary,106.6590317,10.7519402,106.6590192,10.7520169,23,30,2020-08,False
70,2020-08-03,0,weekday,period_0_00,0,F,8,5816921541,4614188871,8,32575864,40.0,3,Châu Văn Liêm,secondary,106.6590317,10.7519402,106.6590192,10.7520169,0,0,2020-08,False
71,2020-08-02,6,weekend,period_23_30,47,F,2,366441747,5738173336,43,32575869,40.0,4,Lê Văn Thịnh,unclassified,106.7657368,10.7765916,106.7659642,10.7769125,23,30,2020-08,False
71,2020-08-03,0,weekday,period_0_00,0,F,8,366441747,5738173336,43,32575869,40.0,4,Lê Văn Thịnh,unclassified,106.7657368,10.7765916,106.7659642,10.7769125,0,0,2020-08,False
161,2020-09-11,4,weekday,period_0_30,1,A,1,3202462316,3202462317,21,32575935,40.0,3,Tân Phú,primary_link,106.7236203,10.7336193,106.7238132,10.7336036,0,30,2020-09,False
185,2020-08-02,6,weekend,period_5_00,10,C,1,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,5,0,2020-08,False
185,2020-11-30,0,weekday,period_5_00,10,B,1,5769406267,366410141,35,32575944,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,5,0,2020-11,False
206,2020-11-30,0,weekday,period_5_00,10,B,1,2233730987,5772608664,54,32575944,40.0,4,Phú Hòa,unclassified,106.6538061,10.7856285,106.6533302,10.7854926,5,0,2020-11,False
207,2020-11-30,0,weekday,period_4_30,9,B,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,4,30,2020-11,False
207,2020-11-30,0,weekday,period_6_00,12,B,1,366422378,5802629829,49,32575966,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,6,0,2020-11,False
299,2020-08-03,0,weekday,period_1_00,2,F,1,1779408275,2027431006,15,32575985,40.0,4,Nguyễn Khoái,tertiary,106.6939259,10.7558779,106.6939906,10.7557574,1,0,2020-08,False
309,2020-11-27,4,weekday,period_12_00,24,F,2,1780010853,366422916,95,32575985,40.0,4,Nguyễn Khoái,tertiary,106.6948938,10.7541206,106.6952956,10.7533608,12,0,2020-11,False
432,2020-08-02,6,weekend,period_23_30,47,F,2,4979973980,366449673,42,32576127,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.664706,10.7506566,23,30,2020-08,False
432,2020-08-03,0,weekday,period_0_00,0,F,8,4979973980,366449673,42,32576127,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.664706,10.7506566,0,0,2020-08,False
433,2020-08-02,6,weekend,period_23_30,47,F,2,4979973980,4589132514,50,32576127,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.6645422,10.7514798,23,30,2020-08,False
433,2020-08-03,0,weekday,period_0_00,0,A,8,4979973980,4589132514,50,32576127,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.6645422,10.7514798,0,0,2020-08,False
434,2020-08-02,6,weekend,period_23_30,47,D,2,4589132514,4979973980,50,32576127,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6646409,10.7510333,23,30,2020-08,False
434,2020-08-03,0,weekday,period_0_00,0,F,8,4589132514,4979973980,50,32576127,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6646409,10.7510333,0,0,2020-08,False
435,2020-08-02,6,weekend,period_23_30,47,D,2,4589132514,366433158,89,32576127,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6643846,10.7522719,23,30,2020-08,False
435,2020-08-03,0,weekday,period_0_00,0,F,8,4589132514,366433158,89,32576127,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6643846,10.7522719,0,0,2020-08,False
436,2020-08-02,6,weekend,period_23_30,47,F,2,366433158,4589132514,89,32576127,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6645422,10.7514798,23,30,2020-08,False
436,2020-08-03,0,weekday,period_0_00,0,C,8,366433158,4589132514,89,32576127,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6645422,10.7514798,0,0,2020-08,False
437,2020-08-02,6,weekend,period_23_30,47,F,2,366433158,5816931407,69,32576127,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6642633,10.7528813,23,30,2020-08,False
437,2020-08-03,0,weekday,period_0_00,0,F,8,366433158,5816931407,69,32576127,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6642633,10.7528813,0,0,2020-08,False
438,2020-08-02,6,weekend,period_23_30,47,F,2,5816931407,366433158,69,32576127,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6643846,10.7522719,23,30,2020-08,False
438,2020-08-03,0,weekday,period_0_00,0,F,8,5816931407,366433158,69,32576127,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6643846,10.7522719,0,0,2020-08,False
439,2020-08-02,6,weekend,period_23_30,47,D,2,5816931407,4589132512,73,32576127,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6641339,10.7535319,23,30,2020-08,False
439,2020-08-03,0,weekday,period_0_00,0,B,8,5816931407,4589132512,73,32576127,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6641339,10.7535319,0,0,2020-08,False
440,2020-08-02,6,weekend,period_23_30,47,F,2,4589132512,5816931407,73,32576127,40.0,4,Tản Đà,tertiary,106.6641339,10.7535319,106.6642633,10.7528813,23,30,2020-08,False
440,2020-08-03,0,weekday,period_0_00,0,F,8,4589132512,5816931407,73,32576127,40.0,4,Tản Đà,tertiary,106.6641339,10.7535319,106.6642633,10.7528813,0,0,2020-08,False
441,2020-08-02,6,weekend,period_23_30,47,C,2,5797643308,5797643307,34,32576156,40.0,4,Đường số 7,tertiary,106.6190633,10.7515592,106.6193735,10.7516045,23,30,2020-08,False
441,2020-08-03,0,weekday,period_0_00,0,F,8,5797643308,5797643307,34,32576156,40.0,4,Đường số 7,tertiary,106.6190633,10.7515592,106.6193735,10.7516045,0,0,2020-08,False
1500,2020-11-29,6,weekend,period_15_30,31,A,1,366424612,5762725656,11,32576893,40.0,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6368738,10.8704226,15,30,2020-11,False
1500,2020-11-29,6,weekend,period_2_00,4,A,1,366424612,5762725656,11,32576893,40.0,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6368738,10.8704226,2,0,2020-11,False
1558,2020-11-16,0,weekday,period_14_00,28,B,1,5719731384,3758592298,5,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,14,0,2020-11,False
1558,2020-11-18,2,weekday,period_12_00,24,D,1,5719731384,3758592298,5,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,12,0,2020-11,False
1558,2020-11-28,5,weekend,period_14_00,28,C,1,5719731384,3758592298,5,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,14,0,2020-11,False
1564,2020-11-29,6,weekend,period_3_00,6,A,1,366475297,3654066975,25,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6788772,10.8080783,106.6790756,10.807965,3,0,2020-11,False
1566,2020-11-28,5,weekend,period_14_30,29,B,1,3654066975,366462375,19,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6790756,10.807965,106.6792258,10.8078754,14,30,2020-11,False
1567,2020-11-29,6,weekend,period_3_00,6,B,1,366462375,3654066975,19,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6792258,10.8078754,106.6790756,10.807965,3,0,2020-11,False
1578,2020-11-29,6,weekend,period_3_00,6,A,1,2487526100,3654066941,29,32577116,40.0,4,Thích Quảng Đức,tertiary,106.6796872,10.8073327,106.6799018,10.8071706,3,0,2020-11,False
